Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Attack,Root Category/Womens/Sticks/Shafts,,Yes,Attack,,,Attack,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie,Root Category/Womens/Sticks/Shafts,,Yes,Goalie,,,Goalie,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Pre-wrap,Root Category/Womens/Sticks/Tape,,Yes,Pre-wrap,,,Pre-wrap,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Athletic,Root Category/Womens/Sticks/Tape,,Yes,Athletic,,,Athletic,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goal Accessories,Root Category/Womens/Goals & Training/Goals,,Yes,Goal Accessories,,,Goal Accessories,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Rebounders,Root Category/Womens/Goals & Training/Training,,Yes,Rebounders,,,Rebounders,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Targets,Root Category/Womens/Goals & Training/Training,,Yes,Targets,,,Targets,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Backstops,Root Category/Womens/Goals & Training/Training,,Yes,Backstops,,,Backstops,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Single,Root Category/Womens/Goals & Training/Balls,,Yes,Single,,,Single,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Buckets,Root Category/Womens/Goals & Training/Balls,,Yes,Buckets,,,Buckets,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Bulk (100+) ,Root Category/Womens/Goals & Training/Balls,,Yes,Bulk (100+) ,,,Bulk (100+) ,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
